id_registro,tipo_planta,dias_sem_rega,frequencia_ideal_rega,umidade_solo,luz_recebida,temperatura_media_c,folhas_amareladas,folhas_murchas,manchas_folhas,crescimento_lento,solo_compactado,diagnostico,nivel_risco,recomendacao
PC-0063,manjericao,0,2,encharcado,media,26,sim,nao,nao,nao,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0064,lirio_da_paz,1,3,normal,baixa,30,nao,sim,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0065,zamioculca,9,10,normal,media,24,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0066,lirio_da_paz,3,3,encharcado,baixa,20,sim,nao,sim,sim,sim,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0067,jiboia,13,4,seco,alta,29,sim,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0068,samambaia,3,2,normal,media,26,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0069,samambaia,4,2,seco,baixa,22,nao,nao,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0070,jiboia,4,4,encharcado,baixa,23,sim,nao,sim,sim,sim,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0071,zamioculca,11,10,normal,baixa,21,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0072,jiboia,11,4,seco,alta,29,sim,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0073,espada_de_sao_jorge,12,12,normal,media,22,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0074,espada_de_sao_jorge,3,12,encharcado,media,23,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0075,manjericao,11,2,seco,alta,35,sim,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0076,cacto,15,14,normal,alta,36,sim,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0077,samambaia,4,2,normal,media,23,sim,nao,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0078,zamioculca,2,10,encharcado,media,18,sim,nao,nao,nao,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0079,manjericao,1,2,encharcado,media,26,sim,sim,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0080,manjericao,11,2,seco,alta,29,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0081,suculenta,9,10,normal,alta,27,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0082,cacto,4,14,encharcado,baixa,23,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0083,lirio_da_paz,4,3,normal,baixa,19,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0084,orquidea,7,7,seco,media,27,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0085,cacto,14,14,normal,alta,21,sim,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0086,cacto,18,14,normal,alta,35,nao,nao,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0087,espada_de_sao_jorge,0,12,encharcado,media,20,sim,sim,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0088,suculenta,12,10,seco,alta,33,nao,sim,sim,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0089,samambaia,1,2,normal,media,20,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0090,manjericao,7,2,seco,alta,37,sim,sim,sim,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0091,manjericao,6,2,normal,alta,31,nao,sim,sim,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0092,espada_de_sao_jorge,14,12,encharcado,baixa,23,nao,nao,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0093,cacto,16,14,normal,baixa,24,nao,nao,nao,sim,sim,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0094,samambaia,2,2,normal,media,25,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0095,jiboia,6,4,normal,media,24,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0096,costela_de_adao,7,5,seco,alta,30,nao,sim,nao,nao,sim,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0097,orquidea,12,7,seco,alta,29,nao,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0098,jiboia,5,4,normal,media,20,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0099,jiboia,5,4,normal,baixa,23,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0100,suculenta,10,10,normal,media,28,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0101,costela_de_adao,6,5,normal,baixa,22,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0102,manjericao,3,2,seco,alta,36,sim,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0103,cacto,14,14,encharcado,alta,30,sim,nao,sim,sim,sim,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0104,costela_de_adao,9,5,seco,alta,34,sim,nao,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0105,orquidea,13,7,seco,media,33,sim,sim,nao,sim,sim,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0106,cacto,16,14,encharcado,baixa,20,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0107,costela_de_adao,10,5,seco,alta,27,nao,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0108,jiboia,3,4,encharcado,baixa,31,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0109,suculenta,16,10,seco,media,33,nao,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0110,samambaia,2,2,normal,media,23,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0111,zamioculca,8,10,normal,baixa,24,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0112,samambaia,1,2,normal,baixa,21,sim,nao,sim,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0113,lirio_da_paz,7,3,seco,alta,32,sim,sim,sim,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0114,samambaia,2,2,normal,media,22,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0115,suculenta,17,10,seco,media,29,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0116,lirio_da_paz,5,3,normal,baixa,18,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0117,orquidea,7,7,normal,baixa,20,nao,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0118,suculenta,9,10,normal,media,23,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0119,jiboia,3,4,encharcado,media,19,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0120,suculenta,14,10,seco,alta,35,sim,sim,sim,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0121,zamioculca,9,10,normal,baixa,26,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0122,samambaia,2,2,encharcado,alta,26,sim,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0123,jiboia,4,4,seco,alta,32,sim,nao,nao,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0124,zamioculca,8,10,normal,baixa,26,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0125,espada_de_sao_jorge,14,12,normal,media,29,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0126,cacto,15,14,normal,alta,26,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0127,orquidea,5,7,normal,baixa,23,nao,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0128,orquidea,6,7,seco,baixa,23,sim,nao,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0129,manjericao,0,2,seco,media,21,sim,sim,sim,sim,sim,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0130,manjericao,4,2,normal,baixa,19,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0131,orquidea,12,7,seco,alta,31,sim,sim,sim,sim,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0132,lirio_da_paz,0,3,encharcado,media,26,sim,nao,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0133,jiboia,8,4,seco,alta,34,sim,nao,sim,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0134,orquidea,2,7,encharcado,baixa,24,sim,nao,sim,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0135,lirio_da_paz,5,3,normal,baixa,24,nao,nao,sim,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0136,lirio_da_paz,2,3,seco,baixa,23,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0137,orquidea,3,7,encharcado,baixa,24,sim,sim,nao,nao,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0138,suculenta,9,10,normal,media,24,sim,sim,sim,sim,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0139,suculenta,10,10,normal,alta,35,nao,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0140,manjericao,1,2,normal,media,23,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0141,espada_de_sao_jorge,14,12,seco,alta,36,sim,nao,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0142,jiboia,10,4,seco,alta,28,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0143,suculenta,11,10,normal,media,23,sim,nao,nao,sim,sim,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0144,cacto,18,14,seco,alta,33,nao,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0145,cacto,14,14,normal,baixa,22,nao,sim,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0146,cacto,14,14,normal,baixa,25,nao,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0147,espada_de_sao_jorge,2,12,encharcado,baixa,19,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0148,jiboia,8,4,seco,alta,34,sim,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0149,samambaia,7,2,seco,alta,35,nao,sim,nao,sim,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0150,cacto,17,14,seco,alta,34,sim,nao,sim,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0151,espada_de_sao_jorge,12,12,normal,media,26,sim,nao,nao,sim,nao,necessita_adubo,baixo,Avaliar adubacao leve conforme o tipo da planta e manter acompanhamento semanal.
PC-0152,costela_de_adao,5,5,normal,media,22,nao,nao,sim,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0153,cacto,15,14,normal,alta,23,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0154,manjericao,2,2,encharcado,media,23,sim,nao,nao,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0155,manjericao,4,2,seco,alta,38,nao,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0156,orquidea,0,7,encharcado,media,25,sim,sim,sim,sim,sim,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0157,suculenta,10,10,normal,alta,27,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0158,suculenta,2,10,encharcado,baixa,25,sim,nao,nao,sim,nao,excesso_agua,alto,Reduzir a frequencia de rega e verificar se o vaso possui boa drenagem.
PC-0159,suculenta,11,10,normal,baixa,23,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0160,espada_de_sao_jorge,11,12,encharcado,baixa,23,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0161,manjericao,10,2,seco,alta,26,nao,sim,nao,nao,nao,falta_agua,medio,Regar a planta e acompanhar a recuperacao das folhas nas proximas 24 horas.
PC-0162,costela_de_adao,4,5,normal,media,25,nao,nao,nao,sim,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
PC-0163,zamioculca,12,10,normal,baixa,23,sim,nao,nao,sim,nao,pouca_luz,medio,Mover a planta para um local com mais luz indireta e acompanhar o crescimento.
PC-0164,costela_de_adao,8,5,seco,alta,32,nao,sim,nao,nao,nao,excesso_sol,medio,Mover a planta para um local com menos sol direto e evitar exposicao nas horas mais quentes.
PC-0165,orquidea,9,7,seco,alta,26,sim,sim,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0166,orquidea,9,7,normal,baixa,20,sim,nao,sim,nao,nao,possivel_praga,alto,"Inspecionar folhas e caule, isolar a planta se necessario e remover folhas afetadas."
PC-0167,jiboia,5,4,normal,media,27,nao,nao,nao,nao,nao,saudavel,baixo,Manter a rotina atual de cuidados e observar a planta nos proximos dias.
